time,value
1991-04-01,117006.41437297
1991-07-01,117705.210533872
1991-10-01,118767.741294438
1992-01-01,119457.843751325
1992-04-01,119371.867565503
1992-07-01,119217.502595136
1992-10-01,118758.683750979
1993-01-01,117753.377167425
1993-04-01,116134.746839687
1993-07-01,113749.5610567
1993-10-01,112143.890859818
1994-01-01,112009.913242699
1994-04-01,111706.071168296
1994-07-01,112588.734098436
1994-10-01,116612.792939862
1995-01-01,120873.736432531
1995-04-01,122438.839630846
1995-07-01,122304.426252715
1995-10-01,120486.137851204
1996-01-01,117692.593636409
1996-04-01,115313.069992456
1996-07-01,111632.021673559
1996-10-01,106422.36461015
1997-01-01,101309.993912447
1997-04-01,97503.2597513065
1997-07-01,96873.7814448346
1997-10-01,98913.4593368405
1998-01-01,101510.117055782
1998-04-01,106158.333001352
1998-07-01,108695.300338826
1998-10-01,107428.145738852
1999-01-01,105817.289330665
1999-04-01,105864.062179898
1999-07-01,105824.720419152
1999-10-01,104865.664982011
2000-01-01,103840.122068495
2000-04-01,103329.66453344
2000-07-01,102833.635285914
2000-10-01,103272.271454219
2001-01-01,104804.137143598
2001-04-01,106069.327935722
2001-07-01,107215.803896204
2001-10-01,108425.355919548
2002-01-01,109150.630732397
2002-04-01,109742.013719783
2002-07-01,110415.581646312
2002-10-01,112451.114534317
2003-01-01,114258.55694912
2003-04-01,114833.115871708
2003-07-01,116237.184529766
2003-10-01,119204.14295447
2004-01-01,122764.49712314
2004-04-01,126628.077134137
2004-07-01,129656.370516013
2004-10-01,131600.392635001
2005-01-01,133266.396833238
2005-04-01,134941.357707057
2005-07-01,137614.576786994
2005-10-01,141375.377143716
2006-01-01,145256.4298242
2006-04-01,148643.271865424
2006-07-01,151281.828434372
2006-10-01,153545.376397623
2007-01-01,155964.260301213
2007-04-01,159493.090926625
2007-07-01,164000.189153415
2007-10-01,169381.379233879
2008-01-01,175149.439900233
2008-04-01,179086.668355836
2008-07-01,185639.216027258
2008-10-01,192714.290782712
2009-01-01,197213.158464827
2009-04-01,199618.361605015
2009-07-01,201388.228479738
2009-10-01,197280.21335071
2010-01-01,193813.849713479
2010-04-01,199094.89910758
2010-07-01,193843.896736849
2010-10-01,197924.169026104
2011-01-01,210221.235743101
2011-04-01,215977.81785472
2011-07-01,223142.965567906
2011-10-01,231834.650386115
2012-01-01,232920.3353382
2012-04-01,226651.397637255
2012-07-01,237287.509308241
2012-10-01,230105.54889158
2013-01-01,225979.840746065
2013-04-01,222546.206007837
2013-07-01,223192.450479402
2013-10-01,221515.942670358
2014-01-01,221095.585977567
2014-04-01,230879.605670184
2014-07-01,233010.609885221
2014-10-01,237123.551071945
2015-01-01,243837.912203188
2015-04-01,246470.023049636
2015-07-01,244677.589212826
2015-10-01,249300.82028255
2016-01-01,250183.549326677
2016-04-01,244890.103386419
2016-07-01,244803.067254325
2016-10-01,246525.535139121
2017-01-01,250864.557585566
2017-04-01,260250.923690939
2017-07-01,268741.696637231
2017-10-01,261214.705969008
2018-01-01,254768.855674972
2018-04-01,257322.02076831
2018-07-01,259235.374223048
2018-10-01,260477.42589917
2019-01-01,262822.190824664
2019-04-01,259981.181828979
2019-07-01,258217.103711191
2019-10-01,262290.186669678
2020-01-01,265103.631047045
2020-04-01,251039.798082241
