time,value
1991-04-01,675361.328327996
1991-07-01,670703.27380044
1991-10-01,664689.378038783
1992-01-01,658379.142630916
1992-04-01,655067.216748914
1992-07-01,650364.164700262
1992-10-01,641117.989944068
1993-01-01,633771.577011837
1993-04-01,630063.186312356
1993-07-01,624579.534361953
1993-10-01,616703.384285721
1994-01-01,610274.216916296
1994-04-01,607979.815795907
1994-07-01,612061.758833269
1994-10-01,618708.642797547
1995-01-01,620284.356337023
1995-04-01,615983.769635113
1995-07-01,611101.530282988
1995-10-01,606955.979717828
1996-01-01,601392.568863429
1996-04-01,595030.862274427
1996-07-01,588657.372930647
1996-10-01,580982.539304965
1997-01-01,572043.050875052
1997-04-01,564591.309714323
1997-07-01,561879.35571094
1997-10-01,564004.785640666
1998-01-01,568192.200807392
1998-04-01,571794.557327688
1998-07-01,573301.921656824
1998-10-01,572653.571427354
1999-01-01,571388.363907784
1999-04-01,571171.766879897
1999-07-01,572813.447002379
1999-10-01,577124.061067151
2000-01-01,583184.572441052
2000-04-01,589570.54453389
2000-07-01,596593.055369148
2000-10-01,605347.703212624
2001-01-01,615408.914912831
2001-04-01,624058.006746848
2001-07-01,627865.530263823
2001-10-01,626180.132476802
2002-01-01,622336.298037302
2002-04-01,619746.86918257
2002-07-01,618963.637134895
2002-10-01,618667.34468523
2003-01-01,618182.076437254
2003-04-01,617835.54934046
2003-07-01,618394.791803349
2003-10-01,619794.984429133
2004-01-01,621444.190084826
2004-04-01,623178.867248327
2004-07-01,625560.477772862
2004-10-01,628365.962190959
2005-01-01,630605.615720398
2005-04-01,632728.803792023
2005-07-01,636392.006712514
2005-10-01,641599.165421019
2006-01-01,647380.473085141
2006-04-01,654486.105218449
2006-07-01,663220.200771631
2006-10-01,672491.087769719
2007-01-01,681321.554121364
2007-04-01,688570.122094512
2007-07-01,693946.71798254
2007-10-01,699741.080328644
2008-01-01,706127.660465244
2008-04-01,711794.468772803
2008-07-01,718296.585423727
2008-10-01,726766.617352995
2009-01-01,733294.411681057
2009-04-01,734551.103712124
2009-07-01,730184.924365067
2009-10-01,724730.296744684
2010-01-01,726139.057751994
2010-04-01,736419.711571468
2010-07-01,748484.540434406
2010-10-01,759735.562022899
2011-01-01,771535.125388058
2011-04-01,779803.630645663
2011-07-01,785514.049238087
2011-10-01,794097.151891683
2012-01-01,802053.269951349
2012-04-01,808066.859292917
2012-07-01,814430.064744285
2012-10-01,818329.21015195
2013-01-01,822805.703562371
2013-04-01,834175.190601274
2013-07-01,847553.581004207
2013-10-01,855366.043594675
2014-01-01,860838.544312011
2014-04-01,869371.498504906
2014-07-01,879348.294767689
2014-10-01,887720.910706868
2015-01-01,892866.661801159
2015-04-01,894342.233616694
2015-07-01,896242.917881393
2015-10-01,899926.602935901
2016-01-01,901693.42757195
2016-04-01,902866.919486487
2016-07-01,906476.73712465
2016-10-01,912915.172714617
2017-01-01,924411.600388482
2017-04-01,938712.514189277
2017-07-01,947133.971200813
2017-10-01,947016.539979017
2018-01-01,945661.590353634
2018-04-01,947150.608551295
2018-07-01,951047.815582325
2018-10-01,955338.019602208
2019-01-01,958415.479846287
2019-04-01,960525.83996009
2019-07-01,965049.204606248
2019-10-01,971305.14293491
2020-01-01,972841.994172225
2020-04-01,966805.079444245
