time,value
1991-04-01,60299.7028407402
1991-07-01,59723.6993795036
1991-10-01,58996.1414746558
1992-01-01,58139.0303830336
1992-04-01,57478.6406241365
1992-07-01,56903.0867694363
1992-10-01,56225.1906792061
1993-01-01,55541.0472792849
1993-04-01,54874.1002004381
1993-07-01,54175.4252832834
1993-10-01,53491.9933499011
1994-01-01,52969.6748228923
1994-04-01,52658.3491449504
1994-07-01,52499.5298038194
1994-10-01,52266.7136836787
1995-01-01,51727.581942531
1995-04-01,50832.3957914528
1995-07-01,49943.7799784516
1995-10-01,49453.9463819774
1996-01-01,49293.3383104866
1996-04-01,49132.9939508783
1996-07-01,48744.3328984585
1996-10-01,48155.316468983
1997-01-01,47494.5938621968
1997-04-01,46929.6391931433
1997-07-01,46607.4453801469
1997-10-01,46471.2800155551
1998-01-01,46399.4861282812
1998-04-01,46407.9202145106
1998-07-01,46504.5937078901
1998-10-01,46577.5311122208
1999-01-01,46557.3985574416
1999-04-01,46508.4837308589
1999-07-01,46606.7989839658
1999-10-01,46952.313608638
2000-01-01,47558.9110100721
2000-04-01,48368.8281941759
2000-07-01,49278.7678785461
2000-10-01,50247.2019570081
2001-01-01,51288.9803006788
2001-04-01,52369.8341064637
2001-07-01,53363.2423923281
2001-10-01,54143.8892371313
2002-01-01,54668.9127434981
2002-04-01,55072.718178377
2002-07-01,55556.4524042004
2002-10-01,56224.3601131586
2003-01-01,56909.8976958308
2003-04-01,57506.6226742598
2003-07-01,58080.3002058378
2003-10-01,58663.2105076619
2004-01-01,59387.2051079168
2004-04-01,60272.9912881433
2004-07-01,61007.8929741367
2004-10-01,61456.4568905796
2005-01-01,61810.9637632019
2005-04-01,61887.8739288446
2005-07-01,61810.6656279042
2005-10-01,62208.8940717964
2006-01-01,63141.1578436075
2006-04-01,64416.8483075679
2006-07-01,66173.1903519981
2006-10-01,68154.4751493654
2007-01-01,69886.3591935284
2007-04-01,71476.2243799927
2007-07-01,72999.9943992237
2007-10-01,74282.1668874518
2008-01-01,75322.2858392759
2008-04-01,76231.0440353698
2008-07-01,76956.6424988183
2008-10-01,77448.5843518431
2009-01-01,77784.4509758659
2009-04-01,77995.9693125809
2009-07-01,78368.3657477686
2009-10-01,79307.1451626421
2010-01-01,80790.8993321453
2010-04-01,82350.6102722958
2010-07-01,83510.1106130047
2010-10-01,84408.6426227244
2011-01-01,85726.896660934
2011-04-01,87568.4411607603
2011-07-01,89414.3698135348
2011-10-01,91195.9687086413
2012-01-01,92926.9724771793
2012-04-01,94427.1217665466
2012-07-01,95745.1158023608
2012-10-01,96784.8504972071
2013-01-01,97488.1722525116
2013-04-01,98326.7114488897
2013-07-01,99535.2480374407
2013-10-01,100721.640946961
2014-01-01,101824.664241447
2014-04-01,103013.673574652
2014-07-01,104220.698604993
2014-10-01,105323.535938277
2015-01-01,106236.803932265
2015-04-01,106933.235301836
2015-07-01,107536.924673254
2015-10-01,108363.261208473
2016-01-01,109445.821910704
2016-04-01,110462.697793259
2016-07-01,111226.598441859
2016-10-01,111868.978209062
2017-01-01,112517.922990243
2017-04-01,113319.698594085
2017-07-01,114284.92928626
2017-10-01,115049.832902605
2018-01-01,115439.008648642
2018-04-01,115738.239748865
2018-07-01,116119.597571221
2018-10-01,116576.711742123
2019-01-01,117321.122194368
2019-04-01,118349.032485015
2019-07-01,119315.82063411
2019-10-01,120033.242727639
2020-01-01,120339.04027698
2020-04-01,120178.139641508
2020-07-01,120034.115581122
2020-10-01,120272.194435164
2021-01-01,120974.952707132
2021-04-01,122367.358484583
2021-07-01,124264.939375005
2021-10-01,126218.9119151
2022-01-01,128161.760140235
2022-04-01,130038.075128187
2022-07-01,131803.070610573
2022-10-01,133623.550536164
2023-01-01,135325.297372065
2023-04-01,136717.289272677
2023-07-01,137977.494398658
2023-10-01,139168.934691457
2024-01-01,140237.520700422
2024-04-01,141241.036925768
