time,value
1991-04-01,123334.30654433
1991-07-01,121921.169078847
1991-10-01,119478.662283735
1992-01-01,116488.684663471
1992-04-01,114450.043970705
1992-07-01,112457.85065912
1992-10-01,110174.982801925
1993-01-01,108348.705145312
1993-04-01,106770.48075495
1993-07-01,105164.600119585
1993-10-01,103800.901996659
1994-01-01,102468.929859992
1994-04-01,101550.903123848
1994-07-01,100890.15187242
1994-10-01,100256.981735854
1995-01-01,99472.3043860912
1995-04-01,96904.497369898
1995-07-01,94552.5920892816
1995-10-01,94200.8882543806
1996-01-01,94205.6908430483
1996-04-01,94128.4242564613
1996-07-01,93280.3054893874
1996-10-01,92118.1460806304
1997-01-01,90975.6548671131
1997-04-01,89921.4794013229
1997-07-01,89155.6747773729
1997-10-01,88674.8687898569
1998-01-01,88226.9963815931
1998-04-01,88131.3093749431
1998-07-01,88110.9780332006
1998-10-01,88173.964565063
1999-01-01,88281.1517101024
1999-04-01,88412.8035627854
1999-07-01,88696.6760953502
1999-10-01,89377.9756964089
2000-01-01,90574.6041063137
2000-04-01,91842.9533330438
2000-07-01,93740.1785470454
2000-10-01,95777.7213149268
2001-01-01,97867.6084136311
2001-04-01,100280.995953299
2001-07-01,102384.013696605
2001-10-01,103872.762205388
2002-01-01,104986.450950147
2002-04-01,105456.177318411
2002-07-01,105874.562085667
2002-10-01,106784.864498348
2003-01-01,107764.914881977
2003-04-01,108376.489275357
2003-07-01,109246.849301086
2003-10-01,109995.848225833
2004-01-01,110680.900011018
2004-04-01,112228.602690783
2004-07-01,113097.743187655
2004-10-01,112703.859066935
2005-01-01,113606.219260481
2005-04-01,113967.256409421
2005-07-01,113651.459757588
2005-10-01,114634.363158965
2006-01-01,116390.161958526
2006-04-01,118249.225817658
2006-07-01,121317.193914732
2006-10-01,124638.51955192
2007-01-01,127188.509800635
2007-04-01,129650.407176538
2007-07-01,131977.026042132
2007-10-01,133846.397926502
2008-01-01,135845.537812672
2008-04-01,137494.278015752
2008-07-01,138642.936008969
2008-10-01,139605.067838008
2009-01-01,140412.166894609
2009-04-01,140907.505675745
2009-07-01,141210.507726988
2009-10-01,142497.515806207
2010-01-01,145234.620556761
2010-04-01,147622.735150946
2010-07-01,149833.813968665
2010-10-01,151065.962617972
2011-01-01,153908.413317923
2011-04-01,157912.715879891
2011-07-01,161262.209486196
2011-10-01,164377.209448703
2012-01-01,167339.184029095
2012-04-01,169760.329343048
2012-07-01,172373.516081909
2012-10-01,174797.210364763
2013-01-01,176423.39053073
2013-04-01,178244.825943866
2013-07-01,181028.403127
2013-10-01,183145.632948689
2014-01-01,184858.171967896
2014-04-01,186798.308444063
2014-07-01,188408.701431696
2014-10-01,189771.25012451
2015-01-01,191221.746758575
2015-04-01,192570.590014418
2015-07-01,193800.657805349
2015-10-01,194941.054379558
2016-01-01,196352.720485536
2016-04-01,197319.051948554
2016-07-01,197947.717673553
2016-10-01,199448.412727811
2017-01-01,200653.288550678
2017-04-01,202113.480508974
2017-07-01,204051.84289259
2017-10-01,205676.104811098
2018-01-01,206520.274819054
2018-04-01,207530.398865759
2018-07-01,208460.733464352
2018-10-01,209272.662688298
2019-01-01,210988.623352409
2019-04-01,213620.608420611
2019-07-01,215960.387235046
2019-10-01,217960.675621153
2020-01-01,219410.041000396
2020-04-01,218843.095777999
2020-07-01,218856.984223501
2020-10-01,220472.390784151
2021-01-01,221250.908766517
2021-04-01,223660.678929381
2021-07-01,227133.750335003
2021-10-01,230233.267064828
2022-01-01,233423.937239659
2022-04-01,237596.388366815
2022-07-01,241592.329575233
2022-10-01,244898.759688864
2023-01-01,247858.205123996
2023-04-01,250019.975429292
2023-07-01,251716.136361124
2023-10-01,254070.900177472
2024-01-01,256339.847624402
2024-04-01,257630.008181674
2024-07-01,258501.681772754
2024-10-01,260087.531276336
2025-01-01,261457.758227678
