time,value
1991-04-01,183607.259027091
1991-07-01,181743.436333771
1991-10-01,178506.169819288
1992-01-01,174205.386921123
1992-04-01,171936.637270168
1992-07-01,169392.943069396
1992-10-01,166407.450088008
1993-01-01,163891.871702624
1993-04-01,161705.714050708
1993-07-01,159309.550140473
1993-10-01,157341.764540652
1994-01-01,155430.601606737
1994-04-01,154210.69176752
1994-07-01,153413.848531727
1994-10-01,152478.974461983
1995-01-01,151652.953231234
1995-04-01,147734.743805494
1995-07-01,144093.5601209
1995-10-01,143662.960063473
1996-01-01,143372.146691625
1996-04-01,143279.537447781
1996-07-01,142058.761957226
1996-10-01,140261.084712595
1997-01-01,138524.740750452
1997-04-01,136838.11064367
1997-07-01,135764.544962205
1997-10-01,135172.630522055
1998-01-01,134630.71126264
1998-04-01,134569.695175858
1998-07-01,134616.23558575
1998-10-01,134758.172325655
1999-01-01,134885.800395007
1999-04-01,134930.67145635
1999-07-01,135313.983650423
1999-10-01,136323.327803795
2000-01-01,137983.065153992
2000-04-01,140245.587646318
2000-07-01,142975.609264254
2000-10-01,145979.577865628
2001-01-01,149212.784260294
2001-04-01,152665.559015142
2001-07-01,155736.580892769
2001-10-01,158036.081624098
2002-01-01,159658.959334897
2002-04-01,160536.085090288
2002-07-01,161446.725431672
2002-10-01,163042.678421182
2003-01-01,164679.265916558
2003-04-01,165867.781611797
2003-07-01,167360.674652165
2003-10-01,168771.751742035
2004-01-01,169689.650167011
2004-04-01,172542.2544178
2004-07-01,174179.28786233
2004-10-01,173962.622112963
2005-01-01,175365.885349077
2005-04-01,175929.391037664
2005-07-01,175444.208875653
2005-10-01,176802.567007293
2006-01-01,179638.715075598
2006-04-01,182557.89500762
2006-07-01,187490.043437181
2006-10-01,192827.051838405
2007-01-01,197088.840977814
2007-04-01,201118.771628682
2007-07-01,205014.073395943
2007-10-01,208116.299449114
2008-01-01,210984.586447139
2008-04-01,213735.882454482
2008-07-01,215675.696940978
2008-10-01,217046.338668762
2009-01-01,218198.164450833
2009-04-01,218941.333702087
2009-07-01,219565.921214748
2009-10-01,221409.758093165
2010-01-01,226292.660142893
2010-04-01,229953.630168051
2010-07-01,233511.349107474
2010-10-01,235409.883818323
2011-01-01,239598.171637464
2011-04-01,245516.637972374
2011-07-01,250723.474628832
2011-10-01,255485.484098068
2012-01-01,260187.838245093
2012-04-01,264152.474307504
2012-07-01,268054.948725438
2012-10-01,271719.40505319
2013-01-01,273914.105839948
2013-04-01,276438.568482282
2013-07-01,280653.594445799
2013-10-01,283882.508555259
2014-01-01,286688.919767463
2014-04-01,289789.354556855
2014-07-01,292682.906137978
2014-10-01,295112.682574032
2015-01-01,297505.383442228
2015-04-01,299429.277710926
2015-07-01,301454.145033563
2015-10-01,303273.43472268
2016-01-01,305638.306795673
2016-04-01,307846.18804347
2016-07-01,309273.939532843
2016-10-01,311350.059770498
2017-01-01,313072.459818431
2017-04-01,315274.667498199
2017-07-01,318600.293584793
2017-10-01,320846.069241084
2018-01-01,321711.417932226
2018-04-01,322988.727972987
2018-07-01,325122.509564187
2018-10-01,326026.64427879
2019-01-01,328221.058556949
2019-04-01,330949.495452326
2019-07-01,333375.908382588
2019-10-01,336692.739158823
2020-01-01,339864.663340397
2020-04-01,339952.900619481
2020-07-01,340491.873013398
2020-10-01,342326.150212355
