time,value
1991-04-01,1319013.84865966
1991-07-01,1310408.05758127
1991-10-01,1307079.08385628
1992-01-01,1311811.88668568
1992-04-01,1315074.42996384
1992-07-01,1310781.63010697
1992-10-01,1304040.11718721
1993-01-01,1304304.42586622
1993-04-01,1315206.23127414
1993-07-01,1328399.2209787
1993-10-01,1335166.65954441
1994-01-01,1333303.31972137
1994-04-01,1328165.06143228
1994-07-01,1327344.27014348
1994-10-01,1328918.26293191
1995-01-01,1323692.67103686
1995-04-01,1312522.02694161
1995-07-01,1306505.05792126
1995-10-01,1307660.93344992
1996-01-01,1311974.09766999
1996-04-01,1315864.00717896
1996-07-01,1316451.62494539
1996-10-01,1316256.17729468
1997-01-01,1319625.12556306
1997-04-01,1326308.99606727
1997-07-01,1333856.66974328
1997-10-01,1341306.10149819
1998-01-01,1348104.58770067
1998-04-01,1354712.70290647
1998-07-01,1359958.64696061
1998-10-01,1365177.09349823
1999-01-01,1372614.17475564
1999-04-01,1381408.84724799
1999-07-01,1388768.2838466
1999-10-01,1393375.95226156
2000-01-01,1396670.59338446
2000-04-01,1399107.04198816
2000-07-01,1401556.83740137
2000-10-01,1405321.33312803
2001-01-01,1408789.46465607
2001-04-01,1408954.03924751
2001-07-01,1409676.09285994
2001-10-01,1415307.52915
2002-01-01,1424062.35463169
2002-04-01,1432754.95424652
2002-07-01,1438261.94595184
2002-10-01,1437513.34142977
2003-01-01,1433768.23120146
2003-04-01,1434243.57675265
2003-07-01,1437865.39602385
2003-10-01,1440388.57767148
2004-01-01,1440825.70900618
2004-04-01,1438798.08100345
2004-07-01,1435916.85405413
2004-10-01,1436595.13952053
2005-01-01,1440935.07992812
2005-04-01,1446467.16934305
2005-07-01,1452064.80694688
2005-10-01,1457580.02544392
2006-01-01,1464220.03736022
2006-04-01,1472622.06373788
2006-07-01,1481351.09202438
2006-10-01,1487955.56143903
2007-01-01,1491839.09218144
2007-04-01,1497066.67924523
2007-07-01,1507354.91967856
2007-10-01,1520622.40878813
2008-01-01,1533298.93545985
2008-04-01,1544458.78463697
2008-07-01,1551260.52839967
2008-10-01,1554192.50057567
2009-01-01,1555083.10300603
2009-04-01,1556263.68899809
2009-07-01,1555871.38246179
2009-10-01,1550859.99141289
2010-01-01,1542871.34939185
2010-04-01,1539682.94348128
2010-07-01,1539862.18703109
2010-10-01,1543078.6439511
2011-01-01,1553991.74374997
2011-04-01,1560928.95463513
2011-07-01,1562901.94369857
2011-10-01,1568961.34676143
2012-01-01,1573871.64193802
2012-04-01,1575950.3356071
2012-07-01,1578357.11975094
2012-10-01,1579175.14814342
2013-01-01,1581956.98889631
2013-04-01,1588701.66956199
2013-07-01,1592683.82200004
2013-10-01,1593781.94771111
2014-01-01,1597595.70953124
2014-04-01,1607567.32745949
2014-07-01,1626698.23683561
2014-10-01,1640982.5017325
2015-01-01,1641794.32362192
2015-04-01,1635038.99276098
2015-07-01,1633770.59943535
2015-10-01,1640397.62063433
2016-01-01,1649292.20321644
2016-04-01,1655114.05799633
2016-07-01,1656665.2395668
2016-10-01,1659317.18157628
2017-01-01,1663537.45785761
2017-04-01,1664042.40075964
2017-07-01,1661698.4812826
2017-10-01,1665818.22190911
2018-01-01,1671879.76697657
2018-04-01,1674587.17945092
2018-07-01,1668967.54953215
2018-10-01,1661544.16000058
2019-01-01,1666554.52620095
2019-04-01,1679204.35181355
2019-07-01,1679918.70527604
2019-10-01,1673030.42372979
2020-01-01,1663975.97994701
2020-04-01,1656543.90043901
2020-07-01,1658307.90915005
2020-10-01,1660174.4606911
2021-01-01,1658045.66172339
2021-04-01,1664084.27058405
2021-07-01,1680594.90521435
2021-10-01,1690626.82179731
2022-01-01,1686187.53826445
2022-04-01,1674706.10340553
2022-07-01,1670584.86665019
2022-10-01,1674621.9572423
2023-01-01,1686468.42267284
2023-04-01,1699052.00615378
