time,value
1991-04-01,3021001.94255041
1991-07-01,2976625.3641125
1991-10-01,2967226.10886705
1992-01-01,2983163.23431023
1992-04-01,2979028.53863308
1992-07-01,2966830.94567266
1992-10-01,2951773.07318881
1993-01-01,2941818.58766631
1993-04-01,2963709.75860863
1993-07-01,2997014.59747566
1993-10-01,2996150.10310165
1994-01-01,2987804.98694936
1994-04-01,2962261.50804697
1994-07-01,2967170.09290324
1994-10-01,2975363.13465347
1995-01-01,2968225.71298467
1995-04-01,2951782.99999264
1995-07-01,2942586.5463052
1995-10-01,2952475.75104233
1996-01-01,2956976.09679075
1996-04-01,2962756.32200279
1996-07-01,2961952.42350887
1996-10-01,2957826.59044457
1997-01-01,2965871.75674106
1997-04-01,2969291.00097354
1997-07-01,2979962.69757883
1997-10-01,2989829.0301917
1998-01-01,2998526.60891269
1998-04-01,3013206.53755805
1998-07-01,3020969.11664987
1998-10-01,3025579.4114228
1999-01-01,3035538.83376128
1999-04-01,3052222.59371837
1999-07-01,3064824.84557135
1999-10-01,3070505.87630389
2000-01-01,3074753.89284424
2000-04-01,3074761.53387557
2000-07-01,3070208.43255533
2000-10-01,3071840.38196157
2001-01-01,3081880.11155956
2001-04-01,3078036.52139746
2001-07-01,3076227.52132021
2001-10-01,3086943.21101744
2002-01-01,3095689.55268975
2002-04-01,3099346.96411395
2002-07-01,3110628.32113456
2002-10-01,3108746.52469809
2003-01-01,3094591.18796516
2003-04-01,3093488.97830904
2003-07-01,3091856.62897227
2003-10-01,3092400.47287635
2004-01-01,3099214.81173832
2004-04-01,3097741.5792
2004-07-01,3093007.40718007
2004-10-01,3091771.59814517
2005-01-01,3093592.75970126
2005-04-01,3100694.13695417
2005-07-01,3114787.309874
2005-10-01,3123290.63546369
2006-01-01,3137033.68191115
2006-04-01,3153553.1624675
2006-07-01,3167097.38039456
2006-10-01,3186030.25658443
2007-01-01,3198899.57328477
2007-04-01,3210784.74041133
2007-07-01,3227620.36737953
2007-10-01,3244345.71959945
2008-01-01,3261504.54261637
2008-04-01,3268640.96502593
2008-07-01,3281176.58711406
2008-10-01,3278859.20859996
2009-01-01,3278030.80092052
2009-04-01,3265591.64806284
2009-07-01,3260193.10727226
2009-10-01,3257035.70334091
2010-01-01,3252888.21850203
2010-04-01,3268916.8449824
2010-07-01,3274337.80751585
2010-10-01,3272275.5877645
2011-01-01,3290830.22307206
2011-04-01,3308255.95304079
2011-07-01,3311962.96827376
2011-10-01,3320808.3695154
2012-01-01,3320642.00126591
2012-04-01,3323798.73110506
2012-07-01,3354675.61975887
2012-10-01,3317644.70315882
2013-01-01,3343452.95564714
2013-04-01,3339416.49041904
2013-07-01,3337723.30420629
2013-10-01,3346540.62288293
2014-01-01,3344668.12656659
2014-04-01,3370343.0113126
2014-07-01,3370812.53613451
2014-10-01,3406614.08826536
2015-01-01,3407953.28326616
2015-04-01,3398410.57120037
2015-07-01,3400980.71693382
2015-10-01,3409692.03766367
2016-01-01,3434899.53312529
2016-04-01,3429894.85104932
2016-07-01,3450509.64839403
2016-10-01,3450941.65363087
2017-01-01,3446175.91374538
2017-04-01,3457054.04426827
2017-07-01,3453054.51323211
2017-10-01,3457875.05577314
2018-01-01,3466767.66425323
2018-04-01,3479458.06235484
2018-07-01,3478650.77511795
2018-10-01,3453040.07144938
2019-01-01,3469968.55410322
2019-04-01,3489303.23698327
2019-07-01,3473771.80985342
2019-10-01,3464148.33926053
2020-01-01,3476952.85403176
2020-04-01,3396715.20024536
2020-07-01,3436560.82477535
2020-10-01,3447562.36992051
2021-01-01,3444866.45320181
2021-04-01,3452789.33859783
2021-07-01,3479233.28287207
2021-10-01,3486493.09837613
2022-01-01,3475491.39409682
2022-04-01,3467238.22172075
2022-07-01,3472263.26365795
2022-10-01,3486717.63792295
2023-01-01,3501018.82252632
2023-04-01,3534956.41645644
2023-07-01,3489170.3441377
2023-10-01,3510148.68407567
2024-01-01,3506060.68628151
2024-04-01,3506914.72785999
2024-07-01,3502280.60725628
2024-10-01,3501348.09743865
2025-01-01,3500550.8206577
2025-04-01,3494586.83939704
2025-07-01,3492784.58437968
2025-10-01,3473918.62262911
2026-01-01,3490417.54075936
