time,value
2010-01-01,292357.994200459
2010-04-01,291567.555190768
2010-07-01,292675.033827624
2010-10-01,296156.854222593
2011-01-01,300766.665279756
2011-04-01,304041.023864193
2011-07-01,304025.509171302
2011-10-01,304371.564081361
2012-01-01,305922.61623734
2012-04-01,306118.79793409
2012-07-01,304992.241787457
2012-10-01,303218.120030737
2013-01-01,302214.987038599
2013-04-01,305909.92878241
2013-07-01,309316.916978621
2013-10-01,308087.7292192
2014-01-01,307616.326410826
2014-04-01,309993.811660548
2014-07-01,314027.36019232
2014-10-01,317636.173546879
2015-01-01,320236.927520087
2015-04-01,319711.152482816
2015-07-01,319153.760040676
2015-10-01,319904.825322045
2016-01-01,322664.647427155
2016-04-01,327366.762386203
2016-07-01,332375.163232796
2016-10-01,334685.385230507
2017-01-01,332827.576843133
2017-04-01,331923.298810434
2017-07-01,333164.837218854
2017-10-01,335699.074539336
2018-01-01,338236.73792103
2018-04-01,341426.956523157
2018-07-01,345934.166904494
2018-10-01,348926.913661029
2019-01-01,350258.541817634
2019-04-01,350525.800588866
2019-07-01,351568.276345718
2019-10-01,354082.971011184
2020-01-01,356824.30815619
2020-04-01,356742.586312103
