time,value
1991-04-01,353097.420240576
1991-07-01,353376.95522344
1991-10-01,353192.080492782
1992-01-01,351754.632335885
1992-04-01,355299.10651237
1992-07-01,354658.123217228
1992-10-01,350759.513906497
1993-01-01,348569.652540108
1993-04-01,345142.460432672
1993-07-01,340823.898703348
1993-10-01,336619.578807075
1994-01-01,335560.818121557
1994-04-01,333830.040239709
1994-07-01,336423.999564299
1994-10-01,343561.20519734
1995-01-01,344369.602857963
1995-04-01,347637.643920756
1995-07-01,350458.254162315
1995-10-01,352976.772830875
1996-01-01,351903.843827575
1996-04-01,352539.506936486
1996-07-01,353200.587999718
1996-10-01,354582.522009853
1997-01-01,354395.456915872
1997-04-01,358495.108998966
1997-07-01,357709.490887565
1997-10-01,359174.626309191
1998-01-01,363433.242465721
1998-04-01,366249.645289796
1998-07-01,366759.532599864
1998-10-01,362619.697244562
1999-01-01,359739.052680734
1999-04-01,354953.297331619
1999-07-01,351326.574221085
1999-10-01,350426.239652008
2000-01-01,350269.849496044
2000-04-01,350495.888851279
2000-07-01,356790.019426999
2000-10-01,365897.07456557
2001-01-01,372131.497312256
2001-04-01,381965.598167733
2001-07-01,390579.25115088
2001-10-01,391186.141538706
2002-01-01,392697.747736892
2002-04-01,396599.758848393
2002-07-01,394196.221318256
2002-10-01,393504.285656475
2003-01-01,394305.944350147
2003-04-01,390898.365679351
2003-07-01,389637.842443782
2003-10-01,390523.405447335
2004-01-01,391743.489943428
2004-04-01,392522.65531496
2004-07-01,394273.61408064
2004-10-01,397069.344633007
2005-01-01,398861.764859646
2005-04-01,401157.112044537
2005-07-01,400284.401544191
2005-10-01,406340.780847788
2006-01-01,408533.82404485
2006-04-01,412173.649878813
2006-07-01,417558.105048888
2006-10-01,422074.155139049
2007-01-01,424330.950763464
2007-04-01,429038.855583444
2007-07-01,436277.90847648
2007-10-01,441823.622299387
2008-01-01,447601.450376703
2008-04-01,458066.751558298
2008-07-01,462155.666589026
2008-10-01,469169.665160971
2009-01-01,474578.979518283
2009-04-01,476002.657769683
2009-07-01,472625.001438574
2009-10-01,467412.973725904
2010-01-01,464672.090594208
2010-04-01,467959.6808304
2010-07-01,474621.007115818
2010-10-01,483030.892443826
2011-01-01,496961.632361337
2011-04-01,501609.80393452
2011-07-01,505628.939081726
2011-10-01,513838.98901729
2012-01-01,526919.133513678
2012-04-01,532122.932506779
2012-07-01,541089.056477575
2012-10-01,541940.54559954
2013-01-01,536872.026467382
2013-04-01,545061.0321794
2013-07-01,565278.296891096
2013-10-01,562941.769743646
2014-01-01,562848.818149048
2014-04-01,577417.58824153
2014-07-01,575943.789099156
2014-10-01,585213.991417166
2015-01-01,591139.994411459
2015-04-01,595995.580929416
2015-07-01,594058.346027048
2015-10-01,602265.40718095
2016-01-01,618550.576609994
2016-04-01,616713.35532535
2016-07-01,613617.830396172
2016-10-01,619802.090460239
2017-01-01,619802.085894757
2017-04-01,616159.853657598
2017-07-01,621525.799223546
2017-10-01,614444.27249803
2018-01-01,619897.326368034
2018-04-01,626547.277201052
2018-07-01,657690.542280908
2018-10-01,648048.914812519
2019-01-01,648462.557224006
2019-04-01,657270.843957362
2019-07-01,656206.602569291
2019-10-01,659180.855440877
2020-01-01,661520.470494579
2020-04-01,655536.413600124
2020-07-01,654481.413148837
2020-10-01,662265.512397866
2021-01-01,651774.877245512
2021-04-01,651395.32991001
2021-07-01,670050.906200162
2021-10-01,681205.894371848
2022-01-01,677629.797351793
2022-04-01,688595.547527529
2022-07-01,697326.994708193
2022-10-01,701052.058457344
2023-01-01,725089.469695206
2023-04-01,731965.807105927
2023-07-01,736748.502942306
2023-10-01,738303.707177651
2024-01-01,743329.442386577
2024-04-01,753419.69794572
2024-07-01,753013.696162747
2024-10-01,761311.587640993
2025-01-01,767940.405963951
2025-04-01,768938.389213299
2025-07-01,769917.253862545
2025-10-01,777782.270397545
