time,value
1991-04-01,675361.328328753
1991-07-01,670703.273801447
1991-10-01,664689.378039075
1992-01-01,658379.142630073
1992-04-01,655067.216748909
1992-07-01,650364.16470234
1992-10-01,641117.989944087
1993-01-01,633771.577009455
1993-04-01,630063.186311766
1993-07-01,624579.53436574
1993-10-01,616703.384285495
1994-01-01,610274.216912811
1994-04-01,607979.815794522
1994-07-01,612061.758834551
1994-10-01,618708.64281614
1995-01-01,620284.356363325
1995-04-01,615983.769643172
1995-07-01,611101.530284012
1995-10-01,606955.979736155
1996-01-01,601392.568865828
1996-04-01,595030.862240376
1996-07-01,588657.372887669
1996-10-01,580982.539372801
1997-01-01,572043.05101366
1997-04-01,564591.309586499
1997-07-01,561879.35541165
1997-10-01,564004.785830984
1998-01-01,568192.201373256
1998-04-01,571794.557085526
1998-07-01,573301.920746681
1998-10-01,572653.571378548
1999-01-01,571388.365928562
1999-04-01,571171.766832357
1999-07-01,572813.443366203
1999-10-01,577124.058400102
2000-01-01,583184.575490139
2000-04-01,589570.544149986
2000-07-01,596593.051471815
2000-10-01,605347.70243208
2001-01-01,615408.916306287
2001-04-01,624058.025079711
2001-07-01,627865.562118827
2001-10-01,626180.151230554
2002-01-01,622336.299409582
2002-04-01,619746.868029425
2002-07-01,618963.633191489
2002-10-01,618667.344446382
2003-01-01,618182.080655798
2003-04-01,617835.548643208
2003-07-01,618394.789286395
2003-10-01,619794.984743444
2004-01-01,621444.194530574
2004-04-01,623178.855956075
2004-07-01,625560.428526794
2004-10-01,628366.116751982
2005-01-01,630606.030385091
2005-04-01,632727.99305836
2005-07-01,636390.604934624
2005-10-01,641601.319261983
2006-01-01,647384.664135861
2006-04-01,654480.676064833
2006-07-01,663211.462081652
2006-10-01,672500.755073241
2007-01-01,681339.85744719
2007-04-01,688554.715594084
2007-07-01,693907.470149347
2007-10-01,699772.131524188
2008-01-01,706188.839662327
2008-04-01,711755.542094441
2008-07-01,718187.028622716
2008-10-01,726840.834879255
2009-01-01,733428.556137402
2009-04-01,734477.078975347
2009-07-01,730006.326119419
2009-10-01,724654.085794814
2010-01-01,726402.350113635
2010-04-01,737216.407704981
2010-07-01,749560.662959806
2010-10-01,760706.105646732
2011-01-01,772809.603883638
2011-04-01,781727.050422951
2011-07-01,787886.088723026
2011-10-01,796740.291624153
2012-01-01,804996.994135737
2012-04-01,811303.833545293
2012-07-01,817831.319891493
2012-10-01,821433.00947301
2013-01-01,825115.643782631
2013-04-01,835779.22857296
2013-07-01,848896.128789257
2013-10-01,856892.158506497
2014-01-01,862682.306245381
2014-04-01,871350.237612055
2014-07-01,881339.250211398
2014-10-01,889871.488343524
2015-01-01,895337.553999772
2015-04-01,897019.525624547
2015-07-01,898957.157999907
2015-10-01,902709.734082505
2016-01-01,904748.952406441
2016-04-01,905957.36264413
2016-07-01,909106.860066917
2016-10-01,915224.951692629
2017-01-01,926623.705968013
2017-04-01,940741.50168183
2017-07-01,949250.094500536
2017-10-01,950024.106577621
2018-01-01,950080.455271323
2018-04-01,953233.806480451
2018-07-01,958318.865619911
2018-10-01,963537.544698302
2019-01-01,967496.648353395
2019-04-01,969343.524766226
2019-07-01,972145.059633158
2019-10-01,978007.03775032
2020-01-01,982524.612206136
2020-04-01,978273.520852401
2020-07-01,971700.818099102
2020-10-01,968436.142052672
2021-01-01,967565.632400481
2021-04-01,971617.790579494
2021-07-01,982762.032248589
2021-10-01,995045.355513912
2022-01-01,1005769.20614289
2022-04-01,1017185.27074305
2022-07-01,1025238.44989936
2022-10-01,1028695.06964626
