time,value
1991-04-01,1020602.09467007
1991-07-01,1036141.53173157
1991-10-01,1018632.04042494
1992-01-01,1003275.95950004
1992-04-01,1010314.39449667
1992-07-01,1006959.85448341
1992-10-01,991730.88080324
1993-01-01,980372.681759619
1993-04-01,976750.430504843
1993-07-01,965632.100182185
1993-10-01,954064.545288758
1994-01-01,944774.310592388
1994-04-01,941568.247927556
1994-07-01,948839.73720465
1994-10-01,960934.194391047
1995-01-01,966933.671602214
1995-04-01,963157.591842264
1995-07-01,959811.067346025
1995-10-01,958433.829605877
1996-01-01,953799.941197291
1996-04-01,947675.754605622
1996-07-01,942603.549582187
1996-10-01,936377.227935801
1997-01-01,927575.650679733
1997-04-01,921044.37873892
1997-07-01,919703.328377533
1997-10-01,923941.170879406
1998-01-01,930962.018441011
1998-04-01,938072.76481977
1998-07-01,940903.7903165
1998-10-01,935717.190180274
1999-01-01,930318.139495313
1999-04-01,926148.616922282
1999-07-01,924802.630323738
1999-10-01,927704.510061346
2000-01-01,934489.782454898
2000-04-01,940137.834693152
2000-07-01,951779.048605276
2000-10-01,969241.94310942
2001-01-01,988583.584964001
2001-04-01,1006503.50892083
2001-07-01,1018479.62825414
2001-10-01,1017919.61280561
2002-01-01,1015506.81987374
2002-04-01,1014448.45341943
2002-07-01,1014194.51009362
2002-10-01,1012784.54099284
2003-01-01,1010991.08009368
2003-04-01,1009196.63074839
2003-07-01,1008836.84843849
2003-10-01,1011080.89517399
2004-01-01,1013129.17283671
2004-04-01,1016274.85489476
2004-07-01,1020797.04743465
2004-10-01,1026150.24163319
2005-01-01,1029855.74487623
2005-04-01,1032031.26785076
2005-07-01,1037884.48325455
2005-10-01,1046442.31073051
2006-01-01,1056235.06657915
2006-04-01,1066913.41533242
2006-07-01,1079789.00826989
2006-10-01,1092875.61179481
2007-01-01,1105996.19068017
2007-04-01,1118439.25710775
2007-07-01,1128827.64854524
2007-10-01,1141590.61300598
2008-01-01,1156952.04476764
2008-04-01,1167622.49165011
2008-07-01,1181012.21619505
2008-10-01,1196269.55820634
2009-01-01,1207815.69100348
2009-04-01,1210214.83147613
2009-07-01,1204098.99062267
2009-10-01,1192219.80565879
2010-01-01,1184836.11820463
2010-04-01,1210675.32404894
2010-07-01,1225792.09190463
2010-10-01,1234844.04261366
2011-01-01,1268822.90134992
2011-04-01,1285132.19977232
2011-07-01,1291783.86912954
2011-10-01,1309883.09145646
2012-01-01,1333308.05800083
2012-04-01,1342453.99872383
2012-07-01,1357714.13110329
2012-10-01,1364821.12301655
2013-01-01,1359339.74225622
2013-04-01,1380853.36382283
2013-07-01,1413123.42297621
2013-10-01,1422563.42196701
2014-01-01,1419149.67263043
2014-04-01,1449490.60298343
2014-07-01,1464261.3446646
2014-10-01,1475343.22269263
2015-01-01,1486387.86660896
2015-04-01,1492569.13808545
2015-07-01,1492640.09169445
2015-10-01,1508277.59087517
2016-01-01,1523370.6047659
2016-04-01,1522431.09483302
2016-07-01,1522658.80099432
2016-10-01,1533524.57099165
2017-01-01,1542275.33637426
2017-04-01,1561116.9465142
2017-07-01,1568007.08120493
2017-10-01,1563279.47124739
2018-01-01,1571384.27786937
2018-04-01,1582072.25238921
2018-07-01,1609859.59395913
2018-10-01,1614290.40860877
2019-01-01,1613262.54174322
2019-04-01,1630686.99345383
2019-07-01,1625716.48670597
2019-10-01,1637693.21101844
2020-01-01,1659621.99012265
2020-04-01,1629981.85004419
2020-07-01,1622438.27445716
2020-10-01,1633225.46059702
2021-01-01,1614285.7954323
2021-04-01,1622493.86729361
2021-07-01,1652779.93053859
2021-10-01,1675309.56404585
2022-01-01,1681745.37228692
2022-04-01,1702522.54342858
2022-07-01,1719822.71851138
2022-10-01,1722993.70714322
2023-01-01,1767858.21330542
2023-04-01,1782608.87060751
