time,value
1991-04-01,29823.1270126902
1991-07-01,29016.8004919787
1991-10-01,27967.6111174367
1992-01-01,26173.0106085211
1992-04-01,23848.9107872854
1992-07-01,21541.9900038922
1992-10-01,19773.1049303519
1993-01-01,18712.7134130463
1993-04-01,18070.0157018943
1993-07-01,17494.1751127461
1993-10-01,16828.1350136472
1994-01-01,16104.2839352601
1994-04-01,15462.0961476802
1994-07-01,15009.8890592032
1994-10-01,14695.6864135112
1995-01-01,14351.8352527904
1995-04-01,13973.529683944
1995-07-01,13789.3073710438
1995-10-01,13782.7548446203
1996-01-01,13746.1930258826
1996-04-01,13728.5366348223
1996-07-01,13792.6991875773
1996-10-01,13867.571186882
1997-01-01,13942.3387787425
1997-04-01,13851.5611973211
1997-07-01,13481.6671421266
1997-10-01,13161.1064839721
1998-01-01,13139.8161463797
1998-04-01,13105.1192339903
1998-07-01,12762.4163057111
1998-10-01,12315.2341832362
1999-01-01,12150.4630380743
1999-04-01,12124.9953466149
1999-07-01,11880.0582554785
1999-10-01,11591.3459627308
2000-01-01,11541.3087151247
2000-04-01,11743.8388139207
2000-07-01,12142.963457823
2000-10-01,12432.4372065249
2001-01-01,12257.7845828675
2001-04-01,11767.9553075626
2001-07-01,11229.003879611
2001-10-01,10727.5810184101
2002-01-01,10337.7489925329
2002-04-01,9981.36096572137
2002-07-01,9615.39448879501
2002-10-01,9382.69953748645
2003-01-01,9220.78233658594
2003-04-01,8793.92034271188
2003-07-01,8265.22653866065
2003-10-01,8164.99286626866
2004-01-01,8308.54515230209
2004-04-01,8408.43297820964
2004-07-01,9013.68987504088
2004-10-01,10389.6431142169
2005-01-01,11801.3519875489
2005-04-01,12774.8394695146
2005-07-01,13166.7367676375
2005-10-01,12910.6117913971
2006-01-01,12720.8737252403
2006-04-01,13169.3910957616
2006-07-01,13605.699884219
2006-10-01,13636.4499766445
2007-01-01,13721.6459553233
2007-04-01,13853.8752540958
2007-07-01,13855.0766731182
2007-10-01,14096.0754268099
2008-01-01,14804.494461445
2008-04-01,15163.3108303041
2008-07-01,14886.5623465906
2008-10-01,14545.9820717747
2009-01-01,14008.506158365
2009-04-01,13100.9045692052
2009-07-01,12486.9090468842
2009-10-01,12166.6896070111
2010-01-01,11908.6508692608
2010-04-01,12225.6225401715
2010-07-01,13020.3164152421
2010-10-01,13843.3838708927
2011-01-01,14869.2512515158
2011-04-01,15766.2461515677
2011-07-01,16075.5133567317
2011-10-01,16483.1712646749
2012-01-01,17435.0424986235
2012-04-01,18099.6244859195
2012-07-01,18273.4137179137
2012-10-01,18292.3048727928
2013-01-01,18392.2086735225
2013-04-01,18919.8300985834
2013-07-01,19611.4928882912
2013-10-01,19619.155295768
2014-01-01,19209.0598754704
2014-04-01,18931.7057181105
2014-07-01,18547.0737471225
2014-10-01,18219.359024294
2015-01-01,18174.3432870627
2015-04-01,18171.2123361535
2015-07-01,17882.9789546487
2015-10-01,17728.032210752
2016-01-01,17620.0711320837
2016-04-01,17524.7810956245
2016-07-01,17897.8255493642
2016-10-01,18783.7857729389
2017-01-01,19626.0067133885
2017-04-01,20398.4640398404
2017-07-01,21063.2849602627
2017-10-01,21449.1848925129
2018-01-01,22176.4501066629
2018-04-01,23148.5652013903
2018-07-01,23671.0696447906
2018-10-01,23946.9644342048
2019-01-01,24670.7832163252
2019-04-01,25696.4111275331
2019-07-01,26570.3914068243
2019-10-01,26805.7898573726
2020-01-01,26238.5610125292
2020-04-01,25435.8168892623
2020-07-01,25238.2446152591
