time,value
1991-04-01,33807.0638441414
1991-07-01,33789.7838644305
1991-10-01,32414.3480522979
1992-01-01,30490.6466472483
1992-04-01,27807.5980173017
1992-07-01,25071.9215836618
1992-10-01,23204.0915828328
1993-01-01,22149.5030638114
1993-04-01,21518.3622424174
1993-07-01,20932.584287174
1993-10-01,20292.7346572181
1994-01-01,19479.9502363302
1994-04-01,18776.1330802335
1994-07-01,18261.995908788
1994-10-01,17884.8255957918
1995-01-01,17508.9194654876
1995-04-01,16978.9199575746
1995-07-01,16705.2823013219
1995-10-01,16737.1753830189
1996-01-01,16564.9492715825
1996-04-01,16534.0572509304
1996-07-01,16703.3111415651
1996-10-01,16739.8496814106
1997-01-01,16853.6884200929
1997-04-01,16801.1400830257
1997-07-01,16269.2581937838
1997-10-01,15736.9736669969
1998-01-01,15882.2738757365
1998-04-01,15977.9740162117
1998-07-01,15469.3553967692
1998-10-01,14762.5874203396
1999-01-01,14795.3608148269
1999-04-01,14941.0449406669
1999-07-01,14562.8913064046
1999-10-01,14049.6387838965
2000-01-01,14439.6100832648
2000-04-01,14692.9788722696
2000-07-01,15501.6623177871
2000-10-01,16258.2476408396
2001-01-01,16193.0689809327
2001-04-01,15909.2854339889
2001-07-01,15402.5742303873
2001-10-01,14835.7744824209
2002-01-01,14398.5163944408
2002-04-01,13998.4075814118
2002-07-01,13379.631087681
2002-10-01,13084.5537687749
2003-01-01,12988.0627830014
2003-04-01,12398.2587817088
2003-07-01,11303.1225035817
2003-10-01,11466.1831175905
2004-01-01,12017.7893313622
2004-04-01,11687.2812533969
2004-07-01,12018.2795603136
2004-10-01,14717.17616543
2005-01-01,16703.6375029522
2005-04-01,17733.9272400414
2005-07-01,18248.6410344554
2005-10-01,17864.7444945322
2006-01-01,17496.4887314854
2006-04-01,18377.6413307605
2006-07-01,18822.2342000544
2006-10-01,18775.5310843115
2007-01-01,19173.9426700883
2007-04-01,19464.0112463732
2007-07-01,19488.6408156977
2007-10-01,19885.6620998402
2008-01-01,20795.4237878105
2008-04-01,21917.9960618243
2008-07-01,21064.1772205872
2008-10-01,20782.283177106
2009-01-01,20310.4328546437
2009-04-01,18638.1349714044
2009-07-01,16928.8321756108
2009-10-01,18723.894268134
2010-01-01,16564.1706757433
2010-04-01,16975.367517782
2010-07-01,18307.1879234707
2010-10-01,19414.5108583486
2011-01-01,20510.7390629481
2011-04-01,22027.1835768627
2011-07-01,22468.3333354488
2011-10-01,22823.5234474939
2012-01-01,24574.0302569481
2012-04-01,25184.2876523693
2012-07-01,25105.583416735
2012-10-01,25603.3706343406
2013-01-01,24194.9908075171
2013-04-01,26943.9789375502
2013-07-01,27752.3888181762
2013-10-01,27861.7002521268
2014-01-01,27380.1685579172
2014-04-01,27272.1755063319
2014-07-01,26886.9031718851
2014-10-01,26111.8251026189
2015-01-01,26390.861314157
2015-04-01,26072.3110940124
2015-07-01,26156.3595175927
2015-10-01,25699.4274209113
2016-01-01,26221.7497451263
2016-04-01,25971.9089047851
2016-07-01,26576.7482525953
2016-10-01,28219.2227452207
2017-01-01,28873.8678294999
2017-04-01,30018.64782458
2017-07-01,30756.2100856756
2017-10-01,31273.1718771464
2018-01-01,32356.4763614871
2018-04-01,33656.9707071611
2018-07-01,34072.162513212
2018-10-01,34141.9553718904
2019-01-01,35457.1338322196
2019-04-01,36498.4340218381
2019-07-01,37462.2230672211
2019-10-01,38097.8203636901
2020-01-01,38688.1915002365
2020-04-01,34606.038073344
2020-07-01,35672.3457735718
2020-10-01,36564.5578957027
2021-01-01,34906.6091873355
2021-04-01,37808.7448384877
2021-07-01,38840.9587037654
