time,value
1991-04-01,116854.866810468
1991-07-01,117738.444568104
1991-10-01,118772.372688563
1992-01-01,119461.446632031
1992-04-01,119416.779410978
1992-07-01,119129.012886012
1992-10-01,118759.576030249
1993-01-01,117853.139984865
1993-04-01,116005.293097922
1993-07-01,113749.488189407
1993-10-01,112203.316320445
1994-01-01,111605.666137414
1994-04-01,111765.477644901
1994-07-01,113334.336966365
1994-10-01,116699.747672992
1995-01-01,120345.710049828
1995-04-01,122402.400328985
1995-07-01,122286.202383295
1995-10-01,120438.999777307
1996-01-01,117885.872638453
1996-04-01,115196.685794126
1996-07-01,111550.441735585
1996-10-01,106468.414464636
1997-01-01,101195.404869825
1997-04-01,97661.1163515162
1997-07-01,96988.7083951522
1997-10-01,98956.7475529268
1998-01-01,102489.649884321
1998-04-01,105989.485668098
1998-07-01,107725.475682674
1998-10-01,107405.214127539
1999-01-01,106415.117472164
1999-04-01,105972.639295335
1999-07-01,105706.424862907
1999-10-01,104861.344381564
2000-01-01,103879.152566363
2000-04-01,103248.324878127
2000-07-01,102907.837778234
2000-10-01,103370.646838929
2001-01-01,104701.200498609
2001-04-01,106068.313065634
2001-07-01,107240.676558614
2001-10-01,108362.911476092
2002-01-01,109161.851298527
2002-04-01,109801.572171704
2002-07-01,110904.420436414
2002-10-01,112402.724944633
2003-01-01,113715.774338981
2003-04-01,114821.908416502
2003-07-01,116489.650570168
2003-10-01,119220.119341906
2004-01-01,122830.749328275
2004-04-01,126558.788869969
2004-07-01,129571.765189473
2004-10-01,131644.998919494
2005-01-01,133217.354852174
2005-04-01,134993.945204522
2005-07-01,137688.613555324
2005-10-01,141375.230888305
2006-01-01,145237.902572061
2006-04-01,148557.041869161
2006-07-01,151242.837636089
2006-10-01,153599.377579803
2007-01-01,156048.141235682
2007-04-01,159398.099568028
2007-07-01,164029.523444721
2007-10-01,169617.317239803
2008-01-01,174612.211293535
2008-04-01,179531.004448591
2008-07-01,185734.375407933
2008-10-01,192453.829671211
2009-01-01,197106.301657694
2009-04-01,200185.209095145
2009-07-01,200524.794244065
2009-10-01,197293.838670394
2010-01-01,194886.696068917
2010-04-01,194506.756270869
2010-07-01,194266.488231509
2010-10-01,199082.259388791
2011-01-01,208711.84342164
2011-04-01,216542.051584864
2011-07-01,223705.227094534
2011-10-01,230839.0015357
2012-01-01,233141.975440755
2012-04-01,232936.461946748
2012-07-01,232794.341234133
2012-10-01,230349.405339083
2013-01-01,225768.903047236
2013-04-01,223197.268322749
2013-07-01,222569.700207407
2013-10-01,221119.555415952
2014-01-01,222869.402945232
2014-04-01,228454.785847281
2014-07-01,233242.60057511
2014-10-01,237436.117915496
2015-01-01,243646.754201657
2015-04-01,246393.141785068
2015-07-01,246904.243915582
2015-10-01,249044.441317184
2016-01-01,249514.184707692
2016-04-01,246151.870231792
2016-07-01,244148.010136333
2016-10-01,246043.886567463
2017-01-01,251923.931956133
2017-04-01,261254.317127093
2017-07-01,265848.157179895
2017-10-01,261162.815563477
2018-01-01,256795.256420803
2018-04-01,257420.001002714
2018-07-01,258105.869250487
2018-10-01,259881.846431128
2019-01-01,263504.766491223
2019-04-01,261405.711480166
2019-07-01,257284.923165785
2019-10-01,260436.774303414
2020-01-01,262359.488706377
2020-04-01,259035.818125217
2020-07-01,259350.625798641
2020-10-01,259288.428938995
2021-01-01,257896.186081545
2021-04-01,260579.881171276
2021-07-01,268072.798454115
2021-10-01,271865.68712599
2022-01-01,274014.678772916
2022-04-01,279519.818089296
2022-07-01,285075.09117128
2022-10-01,288120.274641652
2023-01-01,290989.862701429
2023-04-01,297932.863432164
2023-07-01,304116.513109436
2023-10-01,311400.472832521
2024-01-01,318703.144905076
2024-04-01,324338.986145493
