time,value
1991-04-01,171721.90443668
1991-07-01,172759.998990773
1991-10-01,175920.223496688
1992-01-01,177016.801524109
1992-04-01,177734.77630673
1992-07-01,178957.660601182
1992-10-01,178741.534812907
1993-01-01,175733.753194428
1993-04-01,172038.010340317
1993-07-01,170343.945051229
1993-10-01,170254.577241987
1994-01-01,170085.051009765
1994-04-01,170260.28890386
1994-07-01,174748.488860116
1994-10-01,183007.788973998
1995-01-01,189893.19234752
1995-04-01,195133.405216489
1995-07-01,200590.997735608
1995-10-01,201133.789100109
1996-01-01,198098.687735694
1996-04-01,197942.816630351
1996-07-01,198521.563381499
1996-10-01,193374.851138218
1997-01-01,185992.656943932
1997-04-01,183795.643893571
1997-07-01,185928.432619249
1997-10-01,185218.950379992
1998-01-01,184784.186728455
1998-04-01,192829.154351569
1998-07-01,198210.07034724
1998-10-01,191480.725626538
1999-01-01,183427.748058107
1999-04-01,182296.714819901
1999-07-01,183056.71855747
1999-10-01,179024.379908097
2000-01-01,174393.110336969
2000-04-01,174775.169074886
2000-07-01,177966.088332835
2000-10-01,179690.724843102
2001-01-01,182152.837685314
2001-04-01,188032.447357186
2001-07-01,194111.379686808
2001-10-01,195345.16249623
2002-01-01,195012.738829951
2002-04-01,198147.998058296
2002-07-01,200896.109293659
2002-10-01,200725.982530043
2003-01-01,199251.627818639
2003-04-01,199976.853970768
2003-07-01,203492.354926628
2003-10-01,205866.118225813
2004-01-01,208194.672113542
2004-04-01,215122.092693058
2004-07-01,221959.248269804
2004-10-01,223287.869220393
2005-01-01,223439.910020604
2005-04-01,227746.444868682
2005-07-01,234928.944207041
2005-10-01,240105.221834616
2006-01-01,245053.693332393
2006-04-01,252436.700737581
2006-07-01,257703.45710676
2006-10-01,257929.851740174
2007-01-01,258762.651338582
2007-04-01,265578.471642008
2007-07-01,274713.350969307
2007-10-01,281769.650089444
2008-01-01,289925.709318347
2008-04-01,300786.999632227
2008-07-01,312698.691334157
2008-10-01,320728.335403558
2009-01-01,326078.111699804
2009-04-01,335182.289613943
2009-07-01,335930.492696086
2009-10-01,324029.554159312
2010-01-01,314089
2010-04-01,337464
2010-07-01,333948
2010-10-01,338871
2011-01-01,351945
2011-04-01,370027
2011-07-01,373112
2011-10-01,385007
2012-01-01,386002
2012-04-01,387169
2012-07-01,395584
2012-10-01,389098
2013-01-01,371752
2013-04-01,375390
2013-07-01,387308
2013-10-01,382714
2014-01-01,366264
2014-04-01,406238
2014-07-01,405573
2014-10-01,413142
2015-01-01,407669
2015-04-01,433170
2015-07-01,414296
2015-10-01,424472
2016-01-01,431937
2016-04-01,430857
2016-07-01,426463
2016-10-01,438770
2017-01-01,430238
2017-04-01,445008
2017-07-01,443005
2017-10-01,432129
2018-01-01,428368
2018-04-01,433187
2018-07-01,447730
2018-10-01,453245
2019-01-01,441727
2019-04-01,457728
2019-07-01,449117
2019-10-01,456615
2020-01-01,449711
2020-04-01,439999
2020-07-01,449607
2020-10-01,455197
2021-01-01,433652
2021-04-01,446853
2021-07-01,459645
2021-10-01,475619
2022-01-01,462890
2022-04-01,472627
2022-07-01,498024
2022-10-01,489118
2023-01-01,506683
2023-04-01,512275
2023-07-01,531074
2023-10-01,539154
2024-01-01,536594
2024-04-01,549944
2024-07-01,556089
2024-10-01,572930
2025-01-01,562942
2025-04-01,580607
2025-07-01,572415
2025-10-01,595704
2026-01-01,582232
