time,value
1991-04-01,174961.519879043
1991-07-01,173133.149957696
1991-10-01,174578.834145182
1992-01-01,172704.52585646
1992-04-01,178244.273592481
1992-07-01,179200.561561186
1992-10-01,177337.647806114
1993-01-01,177456.118908129
1993-04-01,172687.802781778
1993-07-01,170199.918542848
1993-10-01,168874.749916071
1994-01-01,172145.707252059
1994-04-01,170974.325069867
1994-07-01,174067.57435719
1994-10-01,182964.949984925
1995-01-01,191244.964923575
1995-04-01,195780.749226959
1995-07-01,200525.922530774
1995-10-01,201255.472799581
1996-01-01,195480.359269788
1996-04-01,198477.732100285
1996-07-01,196526.315835036
1996-10-01,192314.599666091
1997-01-01,187090.322355052
1997-04-01,186974.142689036
1997-07-01,183369.713846344
1997-10-01,184336.016021378
1998-01-01,189179.146652532
1998-04-01,193021.434188959
1998-07-01,195289.213099961
1998-10-01,190745.003498926
1999-01-01,188067.374742373
1999-04-01,182323.544357583
1999-07-01,180059.529463785
1999-10-01,178392.954084257
2000-01-01,173155.858400346
2000-04-01,174727.913507659
2000-07-01,176380.574917162
2000-10-01,180231.304929752
2001-01-01,185619.190965896
2001-04-01,187752.45322455
2001-07-01,192758.037060173
2001-10-01,194515.042479838
2002-01-01,196985.431838534
2002-04-01,200467.652755454
2002-07-01,198531.181512011
2002-10-01,199809.583532429
2003-01-01,204170.982764664
2003-04-01,199204.439316549
2003-07-01,201273.978446248
2003-10-01,205025.761847948
2004-01-01,207150.581217175
2004-04-01,214367.73939837
2004-07-01,219722.693436532
2004-10-01,222416.833119977
2005-01-01,225606.402210021
2005-04-01,229670.740893526
2005-07-01,232571.124101992
2005-10-01,240700.263839431
2006-01-01,248906.192563423
2006-04-01,251360.041814474
2006-07-01,256354.1844575
2006-10-01,258808.578310363
2007-01-01,262972.354473273
2007-04-01,263997.816912936
2007-07-01,273132.215397616
2007-10-01,281919.684028061
2008-01-01,286808.73369586
2008-04-01,301578.60372201
2008-07-01,309866.27170341
2008-10-01,320967.221706735
2009-01-01,332074.414799409
2009-04-01,332754.443524907
2009-07-01,333006.103841818
2009-10-01,324190.902839125
2010-01-01,320460.984997587
2010-04-01,335138.120785196
2010-07-01,330654.457210844
2010-10-01,338508.95856958
2011-01-01,359424.91935133
2011-04-01,367416.337122623
2011-07-01,369503.303298509
2011-10-01,385507.436817376
2012-01-01,388725.893346031
2012-04-01,383774.370639891
2012-07-01,393649.644030044
2012-10-01,387681.807484945
2013-01-01,378510.615995324
2013-04-01,373701.076468377
2013-07-01,385035.895208322
2013-10-01,380781.68694574
2014-01-01,376312.346113957
2014-04-01,400843.167698976
2014-07-01,404149.697955304
2014-10-01,411016.471040133
2015-01-01,417639.151511002
2015-04-01,427408.474229997
2015-07-01,413484.554546976
2015-10-01,422267.480936618
2016-01-01,432688.088946518
2016-04-01,428166.457538536
2016-07-01,426201.02692063
2016-10-01,437482.996755974
2017-01-01,437354.189638188
2017-04-01,441161.334784541
2017-07-01,443868.931376461
2017-10-01,429751.514455681
2018-01-01,432188.936272399
2018-04-01,434303.882577388
2018-07-01,447907.521783701
2018-10-01,448456.883920097
2019-01-01,449389.573820285
2019-04-01,458132.283473088
2019-07-01,447325.585673592
2019-10-01,450700.845476202
2020-01-01,451509.443658463
2020-04-01,441604.932769864
2020-07-01,447725.913313173
2020-10-01,448740.299757237
2021-01-01,440248.088447364
2021-04-01,447805.678453441
2021-07-01,456210.594666488
2021-10-01,466056.087171727
2022-01-01,470101.16060895
2022-04-01,475174.149759103
2022-07-01,492908.309063499
2022-10-01,484044.76884764
2023-01-01,510667.455288434
2023-04-01,515226.675597525
