time,value
1991-04-01,207068.414509
1991-07-01,209961.059226922
1991-10-01,212455.553895308
1992-01-01,213902.811945597
1992-04-01,214424.373520185
1992-07-01,213926.562367993
1992-10-01,212434.958026895
1993-01-01,210690.519890204
1993-04-01,208956.95970569
1993-07-01,206753.516150815
1993-10-01,204200.823088518
1994-01-01,202052.42880636
1994-04-01,200848.95045059
1994-07-01,200989.731609404
1994-10-01,202288.42172005
1995-01-01,203546.907227609
1995-04-01,203857.167581072
1995-07-01,203851.454990833
1995-10-01,204014.752595928
1996-01-01,204000.702812978
1996-04-01,203760.796385154
1996-07-01,203885.278966769
1996-10-01,204817.795264436
1997-01-01,206248.740202389
1997-04-01,207967.738089013
1997-07-01,209991.776896342
1997-10-01,212307.275487101
1998-01-01,215118.733232643
1998-04-01,218101.156034444
1998-07-01,219481.852924501
1998-10-01,218844.373931087
1999-01-01,217871.683469465
1999-04-01,217300.874776907
1999-07-01,216833.551914274
1999-10-01,216372.503854986
2000-01-01,215767.947049372
2000-04-01,215596.349025398
2000-07-01,217377.38337303
2000-10-01,221216.797669506
2001-01-01,225777.224624083
2001-04-01,229840.418610982
2001-07-01,232512.415634087
2001-10-01,233475.394285797
2002-01-01,233292.993805667
2002-04-01,232563.398767452
2002-07-01,231545.229982765
2002-10-01,230271.689801149
2003-01-01,228913.638005585
2003-04-01,227629.209009282
2003-07-01,226332.619466007
2003-10-01,225220.645440933
2004-01-01,224629.455144219
2004-04-01,224279.896455188
2004-07-01,223895.858369415
2004-10-01,223588.436592603
2005-01-01,223297.132907941
2005-04-01,222942.591586947
2005-07-01,222385.030111783
2005-10-01,221547.562338838
2006-01-01,221049.497669755
2006-04-01,221331.277996762
2006-07-01,222078.165715868
2006-10-01,222759.407251234
2007-01-01,223985.245412155
2007-04-01,226072.702760461
2007-07-01,228888.899153375
2007-10-01,232279.053814092
2008-01-01,235438.450354841
2008-04-01,238040.772391766
2008-07-01,240314.17990827
2008-10-01,241609.982331098
2009-01-01,242688.849021744
2009-04-01,244075.680310704
2009-07-01,243960.088335821
2009-10-01,241774.524416085
2010-01-01,237787.426961325
2010-04-01,233602.786782002
2010-07-01,233591.70573916
2010-10-01,238390.774331797
2011-01-01,242398.194694681
2011-04-01,244715.455639375
2011-07-01,246493.049497307
2011-10-01,248979.133166109
2012-01-01,253787.69030453
2012-04-01,260445.148335951
2012-07-01,264950.768996654
2012-10-01,266171.24345721
2013-01-01,268478.001414654
2013-04-01,273420.036102298
2013-07-01,277954.845751619
2013-10-01,280009.418878224
2014-01-01,281491.265112976
2014-04-01,281191.500610766
2014-07-01,280842.261010271
2014-10-01,283708.99081637
2015-01-01,286737.281494331
2015-04-01,288253.995525543
2015-07-01,292501.939070135
2015-10-01,298441.574780722
2016-01-01,301757.036451782
2016-04-01,300866.500077366
2016-07-01,296478.288545995
2016-10-01,294604.808666583
2017-01-01,297598.242000435
2017-04-01,301810.676807662
2017-07-01,304572.995091018
2017-10-01,305120.484189481
2018-01-01,306223.281463656
2018-04-01,312362.355119784
2018-07-01,318079.690763908
2018-10-01,319834.926944248
2019-01-01,320366.675832252
2019-04-01,320339.886596526
2019-07-01,320975.564195533
2019-10-01,324350.427523357
2020-01-01,327011.085623004
2020-04-01,327128.703764157
2020-07-01,328222.562000582
2020-10-01,327606.655258564
2021-01-01,323999.584024644
2021-04-01,325240.305533888
2021-07-01,333583.730109167
2021-10-01,336869.749037369
2022-01-01,334992.933248839
2022-04-01,334441.170024654
2022-07-01,334907.947370686
2022-10-01,336603.173327584
2023-01-01,340308.308723754
2023-04-01,343777.451615154
2023-07-01,343700.173829067
2023-10-01,344039.716807109
2024-01-01,346412.530057026
2024-04-01,347916.783336081
2024-07-01,347567.215035316
2024-10-01,350288.67790567
2025-01-01,353342.896019178
2025-04-01,351027.850638541
2025-07-01,348766.887649379
2025-10-01,349054.377606294
