time,value
1991-04-01,325433.293847006
1991-07-01,328537.845642084
1991-10-01,331312.971572057
1992-01-01,333319.791963167
1992-04-01,333653.824269365
1992-07-01,333777.107749611
1992-10-01,333935.874117266
1993-01-01,333386.999533129
1993-04-01,334013.811425904
1993-07-01,332909.610098828
1993-10-01,331042.050087527
1994-01-01,330583.06372906
1994-04-01,331044.656887662
1994-07-01,333290.530117648
1994-10-01,336978.659816888
1995-01-01,340688.647534004
1995-04-01,342245.937107238
1995-07-01,341820.783533158
1995-10-01,341395.467645898
1996-01-01,340062.57431517
1996-04-01,337640.853087404
1996-07-01,336770.874521712
1996-10-01,336750.758260878
1997-01-01,336512.334854262
1997-04-01,338079.00157077
1997-07-01,339244.145604989
1997-10-01,338076.989744513
1998-01-01,338195.789464025
1998-04-01,339992.034866183
1998-07-01,341414.243695167
1998-10-01,340571.040760411
1999-01-01,339884.126249568
1999-04-01,339793.437341847
1999-07-01,341768.449586076
1999-10-01,345306.47768235
2000-01-01,349479.85478456
2000-04-01,353500.044557541
2000-07-01,357288.329214982
2000-10-01,362327.079195107
2001-01-01,367963.966369278
2001-04-01,372433.413271319
2001-07-01,372411.637599835
2001-10-01,368900.360116151
2002-01-01,364078.48412245
2002-04-01,358302.060152649
2002-07-01,354245.754945223
2002-10-01,351710.904898106
2003-01-01,348947.621247619
2003-04-01,346628.063422646
2003-07-01,344461.588039545
2003-10-01,342085.419145964
2004-01-01,340061.614378191
2004-04-01,338508.823069565
2004-07-01,337358.171476691
2004-10-01,336220.659360274
2005-01-01,335021.367081259
2005-04-01,334286.688606434
2005-07-01,333539.807398083
2005-10-01,332451.167445578
2006-01-01,331829.334054716
2006-04-01,331809.232742015
2006-07-01,332495.76536136
2006-10-01,334285.416602935
2007-01-01,336273.428072159
2007-04-01,337748.407313498
2007-07-01,338955.534091098
2007-10-01,341371.461627305
2008-01-01,344586.330362891
2008-04-01,344734.941179247
2008-07-01,345371.34768049
2008-10-01,346389.358930163
2009-01-01,348839.162359975
2009-04-01,347155.996164344
2009-07-01,345213.577540795
2009-10-01,341495.724871734
2010-01-01,340677.639016007
2010-04-01,351715.235784627
2010-07-01,362729.240811722
2010-10-01,357236.199177865
2011-01-01,362372.427400384
2011-04-01,357427.174107417
2011-07-01,352189.169151028
2011-10-01,350784.699591701
2012-01-01,355533.641847858
2012-04-01,358392.438692609
2012-07-01,359539.954184863
2012-10-01,364129.028653253
2013-01-01,368605.642979537
2013-04-01,377542.139733979
2013-07-01,388507.562593656
2013-10-01,394952.700168779
2014-01-01,396334.55712125
2014-04-01,394518.584715287
2014-07-01,413500.844224756
2014-10-01,408816.293129211
2015-01-01,409725.06331
2015-04-01,403022.539465235
2015-07-01,408463.172932381
2015-10-01,408376.239293716
2016-01-01,407332.877242599
2016-04-01,412347.28327475
2016-07-01,417560.736994426
2016-10-01,418078.340606375
2017-01-01,419779.137061424
2017-04-01,425685.813388775
2017-07-01,424211.429920314
2017-10-01,427910.742853496
2018-01-01,432316.515707178
2018-04-01,431435.534413797
2018-07-01,434038.999034546
2018-10-01,438982.173828728
2019-01-01,433767.850539632
2019-04-01,436387.93990327
2019-07-01,441670.474086487
2019-10-01,441407.015091205
2020-01-01,452359.253406712
2020-04-01,446403.687272902
2020-07-01,439988.112223757
2020-10-01,439687.252989086
2021-01-01,438610.212615775
2021-04-01,430957.595832129
