time,value
1991-04-01,11844.6404431854
1991-07-01,12190.2985256383
1991-10-01,12248.9497185097
1992-01-01,11468.178207182
1992-04-01,10744.3930974487
1992-07-01,11518.5677318558
1992-10-01,14027.7994237171
1993-01-01,16903.9843780292
1993-04-01,18475.5137016497
1993-07-01,18099.9634625823
1993-10-01,16996.2898234681
1994-01-01,16998.6952999542
1994-04-01,18198.3317796933
1994-07-01,18861.98274265
1994-10-01,17597.9969333326
1995-01-01,14674.0217793837
1995-04-01,11824.6754415139
1995-07-01,10542.1073943681
1995-10-01,10293.5242061628
1996-01-01,9967.17025153679
1996-04-01,9508.7048279103
1996-07-01,9347.20441465855
1996-10-01,9595.23164125897
1997-01-01,9853.30249358341
1997-04-01,9682.84581907711
1997-07-01,9316.8972181859
1997-10-01,9402.8177353549
1998-01-01,9848.74119349533
1998-04-01,10014.538992489
1998-07-01,9876.84825846506
1998-10-01,9980.41995043362
1999-01-01,10519.9957224155
1999-04-01,11060.2061821729
1999-07-01,11293.9174126299
1999-10-01,11686.5960664505
2000-01-01,12552.451586603
2000-04-01,13513.709943148
2000-07-01,14341.5771179193
2000-10-01,15142.7093380857
2001-01-01,15783.603694165
2001-04-01,15889.7379904255
2001-07-01,15651.785008888
2001-10-01,15529.0256877389
2002-01-01,16181.8379095083
2002-04-01,18631.5253084335
2002-07-01,23108.9627069326
2002-10-01,28786.4118142667
2003-01-01,34799.4405028309
2003-04-01,39653.383381163
2003-07-01,41301.4488946616
2003-10-01,40255.7969919834
2004-01-01,38855.7249772023
2004-04-01,38056.6857723009
2004-07-01,37547.255061799
2004-10-01,37028.8331807397
2005-01-01,36589.5183254287
2005-04-01,36935.885170109
2005-07-01,38472.4076941045
2005-10-01,40139.369189281
2006-01-01,41269.172783441
2006-04-01,42575.2978016024
2006-07-01,44496.6031048947
2006-10-01,46571.0437214664
2007-01-01,48008.487390925
2007-04-01,47636.4346541334
2007-07-01,44831.9864162416
2007-10-01,40786.594758676
2008-01-01,37036.927410172
2008-04-01,34426.6058301864
2008-07-01,33464.8875674314
2008-10-01,33672.9790883468
2009-01-01,33736.987726504
2009-04-01,32691.7501202644
2009-07-01,31105.6892475865
2009-10-01,30111.2183938806
2010-01-01,30054.8270794698
2010-04-01,30651.5630909987
2010-07-01,31313.9927308014
2010-10-01,31687.8111604547
2011-01-01,32385.0094687236
2011-04-01,33638.4554866464
2011-07-01,34444.1080710292
2011-10-01,34395.8910607265
2012-01-01,33853.4924862206
2012-04-01,33533.7156733899
2012-07-01,33876.8756664071
2012-10-01,34468.7412654496
2013-01-01,35098.6948613126
2013-04-01,36296.4334664362
2013-07-01,37841.204002261
2013-10-01,38558.3897943334
2014-01-01,38267.0816184214
2014-04-01,37423.7492261696
2014-07-01,36166.9956259598
2014-10-01,35134.6740383042
2015-01-01,34648.6018949767
2015-04-01,34250.5924228292
2015-07-01,33994.1947339993
2015-10-01,33894.1972502011
2016-01-01,33346.8161409796
2016-04-01,32533.6891085914
2016-07-01,32006.0132623901
2016-10-01,31736.314757863
2017-01-01,31942.9470957663
2017-04-01,32742.9414125212
2017-07-01,33410.2042968153
2017-10-01,33488.0180144935
2018-01-01,33251.7121068688
2018-04-01,33246.7858930774
2018-07-01,33358.1239871704
2018-10-01,33196.1742605392
2019-01-01,32793.0699430231
2019-04-01,32316.1318803825
2019-07-01,31923.4256419308
2019-10-01,31566.5837920398
2020-01-01,30337.0902847713
2020-04-01,27648.6114624199
2020-07-01,25078.551610949
2020-10-01,23561.0222561115
2021-01-01,22830.6560067391
2021-04-01,22992.3213159633
2021-07-01,23676.0077411324
2021-10-01,23987.7770483042
2022-01-01,24163.1784842553
2022-04-01,24678.4406244502
2022-07-01,25235.0918769575
2022-10-01,26096.5674813933
2023-01-01,26975.0182168985
2023-04-01,26919.8434938599
