time,value
1991-04-01,20300.24506086
1991-07-01,20276.0625422529
1991-10-01,20613.9343603647
1992-01-01,18519.8925418334
1992-04-01,17145.9648371351
1992-07-01,17848.5472586173
1992-10-01,21461.1124054465
1993-01-01,25555.5062074123
1993-04-01,27100.7488643355
1993-07-01,26437.369756918
1993-10-01,24440.9489206553
1994-01-01,23843.3026470866
1994-04-01,25798.4674869608
1994-07-01,27190.3199700149
1994-10-01,26561.9288772163
1995-01-01,21436.1874826414
1995-04-01,18561.2614545471
1995-07-01,16556.1222439449
1995-10-01,15790.4195234727
1996-01-01,15111.8916763085
1996-04-01,14302.248435133
1996-07-01,13999.7446603944
1996-10-01,14497.356114396
1997-01-01,14990.0051072952
1997-04-01,14638.5773741146
1997-07-01,14129.3612540349
1997-10-01,14445.7249607388
1998-01-01,15331.8646583378
1998-04-01,15175.9900584572
1998-07-01,15069.1413351081
1998-10-01,15249.850172455
1999-01-01,15864.2688246223
1999-04-01,16500.8701205598
1999-07-01,16389.7140937605
1999-10-01,16559.6841728123
2000-01-01,17765.7313155602
2000-04-01,18899.2384310466
2000-07-01,19978.9733105576
2000-10-01,20884.4268051244
2001-01-01,21714.3495618219
2001-04-01,22236.9090783915
2001-07-01,21982.2653509361
2001-10-01,21666.0010599966
2002-01-01,22198.509643873
2002-04-01,26018.9236497595
2002-07-01,34267.3061298169
2002-10-01,42098.4574082309
2003-01-01,50875.2377274277
2003-04-01,57740.5134558471
2003-07-01,59281.4145347702
2003-10-01,57303.3919284347
2004-01-01,55214.354120438
2004-04-01,54656.1638099455
2004-07-01,53988.4398178518
2004-10-01,54321.1688132085
2005-01-01,53704.1870334346
2005-04-01,53517.8873298342
2005-07-01,55322.6771100803
2005-10-01,57623.0036876223
2006-01-01,59031.8257756767
2006-04-01,60628.2897757368
2006-07-01,63363.1402548269
2006-10-01,65926.9992894929
2007-01-01,68375.5262099013
2007-04-01,69146.3922563118
2007-07-01,64038.3817008132
2007-10-01,57943.5228844717
2008-01-01,52714.6425200829
2008-04-01,49314.9844907885
2008-07-01,47967.8705241519
2008-10-01,48859.7260085431
2009-01-01,48532.2344586355
2009-04-01,47999.8706601429
2009-07-01,44863.5611427289
2009-10-01,44327.4520239231
2010-01-01,44078.4941937372
2010-04-01,44295.4847040194
2010-07-01,46211.2140601923
2010-10-01,45465.330561893
2011-01-01,46637.6876036913
2011-04-01,48055.4623748021
2011-07-01,48616.1747205758
2011-10-01,48344.7772417685
2012-01-01,48167.5896340154
2012-04-01,47507.0262644208
2012-07-01,48214.8161404437
2012-10-01,48956.8554945045
2013-01-01,49213.4022008782
2013-04-01,51340.181452772
2013-07-01,53740.0725153507
2013-10-01,54722.4035871182
2014-01-01,54237.4080938325
2014-04-01,53842.571471599
2014-07-01,52086.2071347566
2014-10-01,49734.976355295
2015-01-01,50146.707924359
2015-04-01,49114.6924102435
2015-07-01,48626.5968367137
2015-10-01,48579.7271215432
2016-01-01,47552.9724050556
2016-04-01,46525.7452182298
2016-07-01,45904.4315524667
2016-10-01,45812.957563457
2017-01-01,45770.3227136646
2017-04-01,46888.5363933656
2017-07-01,47946.0265637319
2017-10-01,47336.5581915806
2018-01-01,47512.7140524457
2018-04-01,46906.0285255092
2018-07-01,47774.2463285689
2018-10-01,47180.3654255095
2019-01-01,46452.8014394856
2019-04-01,46500.5777679479
2019-07-01,45001.0836217334
2019-10-01,44837.0599528464
2020-01-01,44700.2932783501
2020-04-01,39369.4715484379
2020-07-01,35275.5277024417
2020-10-01,34130.0354771452
2021-01-01,32161.5222667955
2021-04-01,32596.7846935056
