time,value
1991-04-01,2371973.24091763
1991-07-01,2349277.80107275
1991-10-01,2328766.24783434
1992-01-01,2309873.87502564
1992-04-01,2321908.70148024
1992-07-01,2305539.41206526
1992-10-01,2291001.35417379
1993-01-01,2269443.97871279
1993-04-01,2282936.29382359
1993-07-01,2291346.66170787
1993-10-01,2278338.60092066
1994-01-01,2263990.21239152
1994-04-01,2250912.84500266
1994-07-01,2252248.29404076
1994-10-01,2262480.60329367
1995-01-01,2265183.99169167
1995-04-01,2256465.96962179
1995-07-01,2248297.95104279
1995-10-01,2247987.23614325
1996-01-01,2240063.15495929
1996-04-01,2240733.36021298
1996-07-01,2234046.91584239
1996-10-01,2224672.23399719
1997-01-01,2218761.1830681
1997-04-01,2208513.92881795
1997-07-01,2206596.98933155
1997-10-01,2213221.66104529
1998-01-01,2220916.04472832
1998-04-01,2228277.8996262
1998-07-01,2234052.517468
1998-10-01,2233522.45718595
1999-01-01,2236377.38235447
1999-04-01,2242326.93114535
1999-07-01,2248104.79888017
1999-10-01,2254073.54589097
2000-01-01,2254848.04898854
2000-04-01,2265314.04657457
2000-07-01,2265685.91489443
2000-10-01,2272281.67380848
2001-01-01,2286041.45959244
2001-04-01,2294023.62551496
2001-07-01,2297144.65598303
2001-10-01,2297716.49312839
2002-01-01,2294496.182087
2002-04-01,2287724.7008113
2002-07-01,2290387.76850814
2002-10-01,2289686.12149426
2003-01-01,2284908.40571115
2003-04-01,2278070.00338824
2003-07-01,2271468.84588712
2003-10-01,2272290.54572665
2004-01-01,2272969.81607076
2004-04-01,2281562.39434917
2004-07-01,2283236.71183
2004-10-01,2283854.54102519
2005-01-01,2285092.37474759
2005-04-01,2287228.90911764
2005-07-01,2298334.36329846
2005-10-01,2308046.9347404
2006-01-01,2322233.15071058
2006-04-01,2335169.11625539
2006-07-01,2349592.33112723
2006-10-01,2369759.08295848
2007-01-01,2390105.7602049
2007-04-01,2404010.40001228
2007-07-01,2413968.72367201
2007-10-01,2422438.22772745
2008-01-01,2428389.84807172
2008-04-01,2436915.87532765
2008-07-01,2445701.21118934
2008-10-01,2452715.73213241
2009-01-01,2457756.28409613
2009-04-01,2446700.95053838
2009-07-01,2432314.01859102
2009-10-01,2429478.45123946
2010-01-01,2434762.30853772
2010-04-01,2475051.03815739
2010-07-01,2478740.44208436
2010-10-01,2483780.23961315
2011-01-01,2512957.44431683
2011-04-01,2523683.4443111
2011-07-01,2540944.18173443
2011-10-01,2547872.85818101
2012-01-01,2547194.06719023
2012-04-01,2563038.69815837
2012-07-01,2581046.40766787
2012-10-01,2579880.69529988
2013-01-01,2585285.90352879
2013-04-01,2587123.45942364
2013-07-01,2592442.17784035
2013-10-01,2609131.16272179
2014-01-01,2611597.76457227
2014-04-01,2631050.67594297
2014-07-01,2635549.30685751
2014-10-01,2649629.3409706
2015-01-01,2667075.19250452
2015-04-01,2661288.37578422
2015-07-01,2662989.36465748
2015-10-01,2675659.30192264
2016-01-01,2680813.38289501
2016-04-01,2684046.87156716
2016-07-01,2699563.87467867
2016-10-01,2707447.14426712
2017-01-01,2709261.00276271
2017-04-01,2731766.68717618
2017-07-01,2746031.60356108
2017-10-01,2741572.73237388
2018-01-01,2746033.88776352
2018-04-01,2761508.0286111
2018-07-01,2759751.68647694
2018-10-01,2764766.52196779
2019-01-01,2773418.63323144
2019-04-01,2775483.68553579
2019-07-01,2767250.16166854
2019-10-01,2767872.06880047
2020-01-01,2793901.73865265
2020-04-01,2730656.26213934
2020-07-01,2747935.90905191
2020-10-01,2754289.86485206
2021-01-01,2753737.40124348
2021-04-01,2759310.30353646
2021-07-01,2779210.74271031
2021-10-01,2790701.17993585
2022-01-01,2801815.47072562
2022-04-01,2806937.10374839
2022-07-01,2834263.43997299
2022-10-01,2834180.37750228
2023-01-01,2866017.67859855
2023-04-01,2884459.25536025
2023-07-01,2881838.92557944
2023-10-01,2886224.38050343
2024-01-01,2875782.21120844
2024-04-01,2882074.93891038
2024-07-01,2886575.39229343
2024-10-01,2895533.27250678
2025-01-01,2899042.36526544
