time,value
1991-04-01,4043563.68452686
1991-07-01,4012143.63028668
1991-10-01,3986326.1540156
1992-01-01,3971050.89016802
1992-04-01,3991769.07430254
1992-07-01,3972600.74006884
1992-10-01,3944077.22749554
1993-01-01,3924981.36186698
1993-04-01,3942565.60633951
1993-07-01,3960802.17155981
1993-10-01,3951250.16151001
1994-01-01,3936139.54873853
1994-04-01,3905028.49006069
1994-07-01,3913782.68298149
1994-10-01,3938624.76245382
1995-01-01,3938561.3494939
1995-04-01,3915318.32099245
1995-07-01,3901024.56801515
1995-10-01,3913507.93432635
1996-01-01,3897071.80033373
1996-04-01,3910585.85083483
1996-07-01,3903244.4241038
1996-10-01,3895680.56557727
1997-01-01,3896989.03773436
1997-04-01,3890624.21403177
1997-07-01,3899061.47762747
1997-10-01,3914610.43079088
1998-01-01,3932644.90300369
1998-04-01,3952043.28128282
1998-07-01,3961691.01142023
1998-10-01,3961584.33227831
1999-01-01,3968682.18481012
1999-04-01,3979891.60507207
1999-07-01,3989262.32049256
1999-10-01,3998373.98656202
2000-01-01,3994160.5555781
2000-04-01,4017044.57128011
2000-07-01,4022195.06976168
2000-10-01,4041638.5053534
2001-01-01,4072354.51614269
2001-04-01,4086743.41644293
2001-07-01,4094843.88536445
2001-10-01,4104799.74349131
2002-01-01,4113832.32289839
2002-04-01,4115801.59758381
2002-07-01,4124281.85219209
2002-10-01,4121519.57671194
2003-01-01,4108559.33185618
2003-04-01,4104324.63317136
2003-07-01,4099976.07281062
2003-10-01,4103777.69945322
2004-01-01,4098033.00561298
2004-04-01,4115281.35596373
2004-07-01,4113123.53197533
2004-10-01,4117920.2283122
2005-01-01,4127474.78696629
2005-04-01,4133464.86365503
2005-07-01,4151972.54125242
2005-10-01,4170284.07349433
2006-01-01,4197104.45961952
2006-04-01,4220891.3637234
2006-07-01,4246809.8849869
2006-10-01,4279199.92490157
2007-01-01,4309478.89068656
2007-04-01,4329119.54097239
2007-07-01,4356480.53954554
2007-10-01,4385677.06219122
2008-01-01,4406063.73437665
2008-04-01,4435939.89823518
2008-07-01,4462072.24053412
2008-10-01,4474413.94207569
2009-01-01,4491289.63695129
2009-04-01,4475165.20132999
2009-07-01,4464368.87854555
2009-10-01,4448733.35024187
2010-01-01,4442951.46358489
2010-04-01,4478797.17120943
2010-07-01,4499964.7619074
2010-10-01,4507382.21978604
2011-01-01,4564841.84464524
2011-04-01,4591737.17878137
2011-07-01,4603566.40756857
2011-10-01,4633323.35253988
2012-01-01,4640317.43740805
2012-04-01,4663889.20093925
2012-07-01,4713789.78368141
2012-10-01,4685158.69463369
2013-01-01,4705548.95337811
2013-04-01,4718066.33731288
2013-07-01,4751898.87118647
2013-10-01,4771469.85123086
2014-01-01,4766418.20138842
2014-04-01,4818923.62543177
2014-07-01,4834984.2560888
2014-10-01,4883561.68699843
2015-01-01,4897707.36877352
2015-04-01,4891641.97008738
2015-07-01,4891903.28174919
2015-10-01,4918869.25361196
2016-01-01,4945311.27474397
2016-04-01,4952663.647257
2016-07-01,4972105.43745396
2016-10-01,4985450.05072972
2017-01-01,4992005.14718929
2017-04-01,5018198.73858117
2017-07-01,5022147.63500288
2017-10-01,5020963.37380865
2018-01-01,5042750.82722612
2018-04-01,5060001.3603791
2018-07-01,5090294.4115639
2018-10-01,5066882.39236923
2019-01-01,5088854.04272211
2019-04-01,5117857.31618562
2019-07-01,5099259.03249214
2019-10-01,5102971.34310232
2020-01-01,5126122.18738186
2020-04-01,5021626.75532926
2020-07-01,5059722.44839996
2020-10-01,5082692.07801599
2021-01-01,5062235.8542713
2021-04-01,5071671.41536856
2021-07-01,5129318.14159719
2021-10-01,5162094.07384845
2022-01-01,5164014.70998629
2022-04-01,5168216.60542533
2022-07-01,5192414.48722026
2022-10-01,5205419.73961781
2023-01-01,5268309.91559903
2023-04-01,5313249.10147839
2023-07-01,5306277.24200506
2023-10-01,5323570.98151173
2024-01-01,5325309.87856324
