time,value
1991-04-01,2368867.57939549
1991-07-01,2349854.02071681
1991-10-01,2328136.97540104
1992-01-01,2319444.09733998
1992-04-01,2319008.68116673
1992-07-01,2306204.73263327
1992-10-01,2290429.33145849
1993-01-01,2269669.94823228
1993-04-01,2280690.26274903
1993-07-01,2291948.80797416
1993-10-01,2278078.07289736
1994-01-01,2263024.5665478
1994-04-01,2249716.89558546
1994-07-01,2252634.04322227
1994-10-01,2262343.7723537
1995-01-01,2263366.42559173
1995-04-01,2256193.31967506
1995-07-01,2248232.90026017
1995-10-01,2248064.15280171
1996-01-01,2246158.46905778
1996-04-01,2240915.75355514
1996-07-01,2234167.23338942
1996-10-01,2224636.29391946
1997-01-01,2216647.66027893
1997-04-01,2208336.83700723
1997-07-01,2206802.96025883
1997-10-01,2213169.08727889
1998-01-01,2219046.49326347
1998-04-01,2227729.66882954
1998-07-01,2234397.39784426
1998-10-01,2233507.0023127
1999-01-01,2234685.8451624
1999-04-01,2241449.86984324
1999-07-01,2248446.55318761
1999-10-01,2254429.96641259
2000-01-01,2261605.54078401
2000-04-01,2264362.59411434
2000-07-01,2265948.54547809
2000-10-01,2272242.02481621
2001-01-01,2284612.58345334
2001-04-01,2292951.86975726
2001-07-01,2297327.58555292
2001-10-01,2297921.9322358
2002-01-01,2292814.40787023
2002-04-01,2286808.27271436
2002-07-01,2290713.44052283
2002-10-01,2289842.2673694
2003-01-01,2283058.4191611
2003-04-01,2277535.87313469
2003-07-01,2271553.83071665
2003-10-01,2272635.35989981
2004-01-01,2279365.00058367
2004-04-01,2281485.7262435
2004-07-01,2283273.38340459
2004-10-01,2283886.67865635
2005-01-01,2283093.53953875
2005-04-01,2287044.30107193
2005-07-01,2298410.940136
2005-10-01,2307911.68487332
2006-01-01,2320285.43050276
2006-04-01,2335025.34768024
2006-07-01,2349594.77283807
2006-10-01,2369640.06559414
2007-01-01,2387970.92299441
2007-04-01,2403813.79906151
2007-07-01,2414094.94571458
2007-10-01,2423095.36241124
2008-01-01,2433656.16588012
2008-04-01,2437275.93165796
2008-07-01,2446009.9385734
2008-10-01,2453626.3020305
2009-01-01,2453968.30807076
2009-04-01,2447049.88464001
2009-07-01,2432604.7922021
2009-10-01,2431026.04929132
2010-01-01,2429603.95732399
2010-04-01,2474743.00990443
2010-07-01,2477598.90898713
2010-10-01,2484977.97564191
2011-01-01,2507969.26143986
2011-04-01,2521693.54505205
2011-07-01,2538569.30938311
2011-10-01,2546819.15122804
2012-01-01,2548924.60261077
2012-04-01,2560124.03078253
2012-07-01,2577374.51988495
2012-10-01,2577843.34042856
2013-01-01,2579668.27833812
2013-04-01,2585267.06870392
2013-07-01,2591188.65543651
2013-10-01,2608777.60520524
2014-01-01,2606705.12310039
2014-04-01,2629056.17908246
2014-07-01,2633647.73263869
2014-10-01,2648404.98613255
2015-01-01,2661460.56382356
2015-04-01,2658617.85622881
2015-07-01,2660473.80039222
2015-10-01,2673785.57147206
2016-01-01,2683080.64758202
2016-04-01,2681116.37953774
2016-07-01,2697233.23138514
2016-10-01,2705587.67835874
2017-01-01,2704276.07507796
2017-04-01,2728653.6783265
2017-07-01,2743957.68508443
2017-10-01,2739044.91854143
2018-01-01,2739517.3622099
2018-04-01,2754060.20969538
2018-07-01,2752854.21347056
2018-10-01,2758179.22755588
2019-01-01,2761266.58012637
2019-04-01,2763139.63728097
2019-07-01,2760931.69530053
2019-10-01,2763613.73747959
2020-01-01,2790808.78867621
2020-04-01,2722151.03825828
